spread_line,result,normalized_modeled_prob
-14.0,-60,0.0000197
-14.0,-59,0.0000251
-14.0,-58,0.0000318
-14.0,-57,0.0000401
-14.0,-56,0.0000503
-14.0,-55,0.0000628
-14.0,-54,0.0000779
-14.0,-53,0.0000961
-14.0,-52,0.0001180
-14.0,-51,0.0001441
-14.0,-50,0.0001751
-14.0,-49,0.0002115
-14.0,-48,0.0002542
-14.0,-47,0.0003039
-14.0,-46,0.0003633
-14.0,-45,0.0006064
-14.0,-44,0.0031493
-14.0,-43,0.0072768
-14.0,-42,0.0062928
-14.0,-41,0.0082460
-14.0,-40,0.0041184
-14.0,-39,0.0047861
-14.0,-38,0.0098783
-14.0,-37,0.0048937
-14.0,-36,0.0020706
-14.0,-35,0.0062606
-14.0,-34,0.0130731
-14.0,-33,0.0070405
-14.0,-32,0.0082081
-14.0,-31,0.0162297
-14.0,-30,0.0088314
-14.0,-29,0.0103276
-14.0,-28,0.0202493
-14.0,-27,0.0104464
-14.0,-26,0.0048803
-14.0,-25,0.0135367
-14.0,-24,0.0276180
-14.0,-23,0.0148316
-14.0,-22,0.0178585
-14.0,-21,0.0356545
-14.0,-20,0.0175897
-14.0,-19,0.0073687
-14.0,-18,0.0251936
-14.0,-17,0.0542186
-14.0,-16,0.0280464
-14.0,-15,0.0465961
-14.0,-14,0.1051675
-14.0,-13,0.0471752
-14.0,-12,0.0097364
-14.0,-11,0.0238425
-14.0,-10,0.0501495
-14.0,-9,0.0244619
-14.0,-8,0.0195482
-14.0,-7,0.0371670
-14.0,-6,0.0179476
-14.0,-5,0.0061474
-14.0,-4,0.0135508
-14.0,-3,0.0265657
-14.0,-2,0.0130525
-14.0,-1,0.0042913
-14.0,0,0.0007688
-14.0,1,0.0036710
-14.0,2,0.0089732
-14.0,3,0.0173622
-14.0,4,0.0084396
-14.0,5,0.0029610
-14.0,6,0.0065648
-14.0,7,0.0129193
-14.0,8,0.0063838
-14.0,9,0.0054747
-14.0,10,0.0104259
-14.0,11,0.0048341
-14.0,12,0.0014124
-14.0,13,0.0037770
-14.0,14,0.0079281
-14.0,15,0.0037196
-14.0,16,0.0032050
-14.0,17,0.0065289
-14.0,18,0.0028556
-14.0,19,0.0006206
-14.0,20,0.0022651
-14.0,21,0.0051210
-14.0,22,0.0022945
-14.0,23,0.0019962
-14.0,24,0.0043206
-14.0,25,0.0018111
-14.0,26,0.0002920
-14.0,27,0.0014691
-14.0,28,0.0034937
-14.0,29,0.0015261
-14.0,30,0.0013426
-14.0,31,0.0030069
-14.0,32,0.0012357
-14.0,33,0.0001665
-14.0,34,0.0010220
-14.0,35,0.0024843
-14.0,36,0.0010160
-14.0,37,0.0000739
-14.0,38,0.0000051
-14.0,39,0.0000032
-14.0,40,0.0000024
-14.0,41,0.0000018
-14.0,42,0.0000014
-14.0,43,0.0000010
-14.0,44,0.0000007
-14.0,45,0.0000005
-14.0,46,0.0000004
-14.0,47,0.0000003
-14.0,48,0.0000002
-14.0,49,0.0000002
-14.0,50,0.0000001
